Date de l'épisode;Origine;Polluant;Région;Département;Seuil dépassé
30/12/2016;CONSTAT;PM10;ILE-DE-FRANCE;YVELINES;50 µg/m³ / 24h
15/12/2016;CONSTAT;PM10;ILE-DE-FRANCE;YVELINES;50 µg/m³ / 24h
02/12/2016;CONSTAT;PM10;ILE-DE-FRANCE;YVELINES;50 µg/m³ / 24h
01/12/2016;CONSTAT;NO2;ILE-DE-FRANCE;YVELINES;200 µg/m³ / 1h
01/12/2016;CONSTAT;NO2;ILE-DE-FRANCE;YVELINES;200 µg/m³ / 1h
26/08/2016;CONSTAT;O3;ILE-DE-FRANCE;YVELINES;180 µg/m³ / 1h
25/08/2016;CONSTAT;O3;ILE-DE-FRANCE;YVELINES;180 µg/m³ / 1h
24/08/2016;CONSTAT;O3;ILE-DE-FRANCE;YVELINES;180 µg/m³ / 1h
13/05/2016;CONSTAT;PM10;ILE-DE-FRANCE;YVELINES;50 µg/m³ / 24h
11/03/2016;CONSTAT;PM10;ILE-DE-FRANCE;YVELINES;50 µg/m³ / 24h
24/01/2017;CONSTAT;PM10;BOURGOGNE;YONNE;80 µg/m³ / 24h
24/01/2017;CONSTAT;PM10;BOURGOGNE;YONNE;80 µg/m³ / 24h
24/01/2017;CONSTAT;PM10;LA REUNION;LA REUNION;50 µg/m³ / 24h
24/01/2017;CONSTAT;PM10;LANGUEDOC-ROUSSILLON;AUDE;50 µg/m³ / 24h
24/01/2017;CONSTAT;PM10;LIMOUSIN;CREUSE;50 µg/m³ / 24h
24/01/2017;CONSTAT;PM10;LIMOUSIN;HAUTE-VIENNE;50 µg/m³ / 24h
24/11/2016;CONSTAT;PM10;LA REUNION;LA REUNION;50 µg/m³ / 24h
22/11/2016;CONSTAT;PM10;LA REUNION;LA REUNION;50 µg/m³ / 24h
21/11/2016;CONSTAT;PM10;LA REUNION;LA REUNION;80 µg/m³ / 24h
19/11/2016;CONSTAT;PM10;LA REUNION;LA REUNION;50 µg/m³ / 24h
24/01/2017;CONSTAT;PM10;RHONE-ALPES;AIN;80 µg/m³ / 24h
24/01/2017;CONSTAT;PM10;RHONE-ALPES;ARDECHE;50 µg/m³ / 24h
10/06/2016;CONSTAT;O3;LANGUEDOC-ROUSSILLON;GARD;180 µg/m³ / 1h
23/02/2016;CONSTAT;PM10;LANGUEDOC-ROUSSILLON;GARD;50 µg/m³ / 24h
24/01/2017;CONSTAT;PM10;RHONE-ALPES;HAUTE-SAVOIE;50 µg/m³ / 24h
21/11/2016;CONSTAT;PM10;LANGUEDOC-ROUSSILLON;HERAULT;50 µg/m³ / 24h
21/11/2016;CONSTAT;PM10;LANGUEDOC-ROUSSILLON;HERAULT;50 µg/m³ / 24h
19/11/2016;CONSTAT;PM10;LANGUEDOC-ROUSSILLON;HERAULT;50 µg/m³ / 24h
25/08/2016;CONSTAT;O3;LANGUEDOC-ROUSSILLON;HERAULT;180 µg/m³ / 1h
28/04/2016;CONSTAT;PM10;LANGUEDOC-ROUSSILLON;HERAULT;50 µg/m³ / 24h
24/01/2017;CONSTAT;PM10;RHONE-ALPES;ISERE;50 µg/m³ / 24h
24/01/2017;CONSTAT;PM10;RHONE-ALPES;LOIRE;50 µg/m³ / 24h
13/03/2016;CONSTAT;PM10;LIMOUSIN;CREUSE;50 µg/m³ / 24h
24/01/2017;CONSTAT;PM10;RHONE-ALPES;RHONE;80 µg/m³ / 24h
24/01/2017;CONSTAT;PM10;RHONE-ALPES;SAVOIE;50 µg/m³ / 24h
24/01/2017;CONSTAT;PM10;RHONE-ALPES;SAVOIE;80 µg/m³ / 24h
25/01/2017;CONSTAT;PM10;ALSACE;BAS-RHIN;50 µg/m³ / 24h
25/01/2017;CONSTAT;PM10;ALSACE;HAUT-RHIN;50 µg/m³ / 24h
25/01/2017;CONSTAT;PM10;BOURGOGNE;COTE-D'OR;80 µg/m³ / 24h
25/01/2017;CONSTAT;PM10;BOURGOGNE;SAONE-ET-LOIRE;80 µg/m³ / 24h
02/10/2016;CONSTAT;PM10;MARTINIQUE;MARTINIQUE;50 µg/m³ / 24h
03/09/2016;CONSTAT;PM10;MARTINIQUE;MARTINIQUE;80 µg/m³ / 24h
26/08/2016;CONSTAT;PM10;MARTINIQUE;MARTINIQUE;80 µg/m³ / 24h
26/07/2016;CONSTAT;PM10;MARTINIQUE;MARTINIQUE;50 µg/m³ / 24h
08/07/2016;CONSTAT;PM10;MARTINIQUE;MARTINIQUE;50 µg/m³ / 24h
27/04/2016;CONSTAT;PM10;MARTINIQUE;MARTINIQUE;50 µg/m³ / 24h
23/04/2016;CONSTAT;PM10;MARTINIQUE;MARTINIQUE;50 µg/m³ / 24h
22/03/2016;CONSTAT;PM10;MARTINIQUE;MARTINIQUE;50 µg/m³ / 24h
06/02/2016;CONSTAT;PM10;MARTINIQUE;MARTINIQUE;50 µg/m³ / 24h
01/02/2016;CONSTAT;PM10;MARTINIQUE;MARTINIQUE;50 µg/m³ / 24h
25/01/2017;CONSTAT;PM10;BOURGOGNE;YONNE;80 µg/m³ / 24h
25/01/2017;CONSTAT;PM10;LA REUNION;LA REUNION;50 µg/m³ / 24h
25/01/2017;CONSTAT;PM10;LANGUEDOC-ROUSSILLON;AUDE;50 µg/m³ / 24h
25/01/2017;CONSTAT;PM10;RHONE-ALPES;AIN;50 µg/m³ / 24h
19/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTE-GARONNE;50 µg/m³ / 24h
18/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTE-GARONNE;50 µg/m³ / 24h
16/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTE-GARONNE;50 µg/m³ / 24h
12/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTE-GARONNE;50 µg/m³ / 24h
07/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTE-GARONNE;50 µg/m³ / 24h
25/01/2017;CONSTAT;PM10;RHONE-ALPES;ARDECHE;50 µg/m³ / 24h
25/01/2017;CONSTAT;PM10;RHONE-ALPES;HAUTE-SAVOIE;80 µg/m³ / 24h
31/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTES-PYRENEES;80 µg/m³ / 24h
29/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTES-PYRENEES;50 µg/m³ / 24h
17/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTES-PYRENEES;50 µg/m³ / 24h
16/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTES-PYRENEES;50 µg/m³ / 24h
14/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTES-PYRENEES;50 µg/m³ / 24h
14/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTES-PYRENEES;50 µg/m³ / 24h
14/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTES-PYRENEES;50 µg/m³ / 24h
14/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTES-PYRENEES;50 µg/m³ / 24h
10/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTES-PYRENEES;80 µg/m³ / 24h
09/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTES-PYRENEES;50 µg/m³ / 24h
08/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTES-PYRENEES;50 µg/m³ / 24h
04/12/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTES-PYRENEES;50 µg/m³ / 24h
22/11/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTES-PYRENEES;50 µg/m³ / 24h
08/07/2016;CONSTAT;O3;MIDI-PYRENEES;HAUTES-PYRENEES;180 µg/m³ / 1h
23/02/2016;CONSTAT;PM10;MIDI-PYRENEES;HAUTES-PYRENEES;50 µg/m³ / 24h
25/01/2017;CONSTAT;PM10;RHONE-ALPES;ISERE;50 µg/m³ / 24h
25/01/2017;CONSTAT;PM10;RHONE-ALPES;LOIRE;50 µg/m³ / 24h
25/01/2017;CONSTAT;PM10;RHONE-ALPES;RHONE;50 µg/m³ / 24h
25/01/2017;CONSTAT;PM10;RHONE-ALPES;SAVOIE;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;ALSACE;BAS-RHIN;50 µg/m³ / 24h
20/12/2016;CONSTAT;PM10;MIDI-PYRENEES;TARN-ET-GARONNE;50 µg/m³ / 24h
19/12/2016;CONSTAT;PM10;MIDI-PYRENEES;TARN-ET-GARONNE;50 µg/m³ / 24h
18/12/2016;CONSTAT;PM10;MIDI-PYRENEES;TARN-ET-GARONNE;50 µg/m³ / 24h
14/12/2016;CONSTAT;PM10;MIDI-PYRENEES;TARN-ET-GARONNE;50 µg/m³ / 24h
14/12/2016;CONSTAT;PM10;MIDI-PYRENEES;TARN-ET-GARONNE;50 µg/m³ / 24h
