date;heure;RUR-SE;AUT;VITRY;NEUIL;AUB;EIFF3
;;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
01/10/2016;1;1;0;1;0;0;0
01/10/2016;2;1;0;1;0;0;0
01/10/2016;3;1;0;0;0;0;0
01/10/2016;4;1;0;0;0;0;0
01/10/2016;5;1;0;1;0;0;0
01/10/2016;6;1;1;1;1;0;0
01/10/2016;7;1;1;1;0;0;0
01/10/2016;8;1;0;1;0;0;4
01/10/2016;9;1;0;1;0;0;6
01/10/2016;10;1;0;1;0;0;6
01/10/2016;11;1;0;1;0;0;6
01/10/2016;12;1;0;1;1;0;7
01/10/2016;13;1;0;1;1;0;7
01/10/2016;14;1;0;2;1;0;7
01/10/2016;15;1;0;2;1;0;7
01/10/2016;16;1;0;2;1;0;7
01/10/2016;17;1;0;1;1;0;7
01/10/2016;18;1;0;1;1;0;7
01/10/2016;19;1;0;1;1;0;7
01/10/2016;20;1;0;1;1;0;7
01/10/2016;21;1;0;1;1;0;7
01/10/2016;22;1;0;1;1;0;7
01/10/2016;23;1;0;2;1;0;7
01/10/2016;24;1;0;1;1;0;5
02/10/2016;1;1;0;1;1;1;0
02/10/2016;2;1;0;1;1;2;0
02/10/2016;3;1;0;1;1;1;0
02/10/2016;4;2;0;1;1;2;0
02/10/2016;5;1;0;1;1;1;0
02/10/2016;6;1;0;1;1;2;0
02/10/2016;7;1;0;1;1;1;0
02/10/2016;8;1;0;1;1;1;0
02/10/2016;9;1;0;0;1;2;0
02/10/2016;10;1;0;1;1;2;0
02/10/2016;11;1;0;1;1;2;0
02/10/2016;12;2;0;1;1;2;1
02/10/2016;13;1;0;1;1;2;2
02/10/2016;14;1;0;1;1;2;3
02/10/2016;15;2;0;1;1;1;3
02/10/2016;16;1;0;1;1;2;4
02/10/2016;17;1;0;1;1;2;5
02/10/2016;18;2;1;1;1;2;5
02/10/2016;19;1;2;1;1;2;4
02/10/2016;20;1;2;1;1;2;3
02/10/2016;21;1;2;0;1;2;3
02/10/2016;22;1;1;0;1;2;2
02/10/2016;23;2;1;0;1;2;2
02/10/2016;24;2;0;0;1;2;2
03/10/2016;1;2;0;2;1;0;0
03/10/2016;2;2;0;2;1;0;0
03/10/2016;3;1;0;2;1;0;0
03/10/2016;4;2;2;2;1;0;0
03/10/2016;5;2;3;2;1;1;0
03/10/2016;6;2;4;2;2;2;0
03/10/2016;7;2;3;3;2;3;0
03/10/2016;8;2;1;3;2;2;0
03/10/2016;9;2;1;3;2;2;0
03/10/2016;10;10;2;2;2;1;1
03/10/2016;11;5;2;3;2;3;1
03/10/2016;12;2;1;n/d;2;1;1
03/10/2016;13;2;1;n/d;2;1;n/d
03/10/2016;14;2;1;2;2;1;n/d
03/10/2016;15;1;1;2;2;2;n/d
03/10/2016;16;2;1;2;2;3;n/d
03/10/2016;17;2;2;2;2;1;n/d
03/10/2016;18;2;0;2;2;1;n/d
03/10/2016;19;2;0;2;2;1;n/d
03/10/2016;20;2;1;1;2;2;n/d
03/10/2016;21;2;3;1;2;3;n/d
03/10/2016;22;2;3;1;2;3;n/d
03/10/2016;23;2;2;1;2;2;n/d
03/10/2016;24;1;1;1;1;1;n/d
04/10/2016;1;1;0;2;1;1;0
04/10/2016;2;2;0;2;1;2;1
04/10/2016;3;2;0;2;1;1;1
04/10/2016;4;1;2;2;1;1;1
04/10/2016;5;2;4;3;1;1;4
04/10/2016;6;1;3;3;1;1;6
